Region,Localidad,Precio_USD_kWh,Fuente_Tarifa,URL_Fuente,Sistema de Enfriamiento,Horas Totales,Free Cooling Hours,FCH %,Energia Total (kWh),OPEX 3 Anios (USD)
Sudamérica,"Isla Gordon, Chile",0.176,BloombergNEF Climatescope 2024,https://global-climatescope.org/markets/cl/,CRAC (Aire Acond. Tradicional),26304,0,0.0,4734720.0,833310.72
Sudamérica,"Isla Gordon, Chile",0.176,BloombergNEF Climatescope 2024,https://global-climatescope.org/markets/cl/,RDHx (Puerta Trasera),26304,25415,96.6,3056075.0,537869.2
Sudamérica,"Isla Gordon, Chile",0.176,BloombergNEF Climatescope 2024,https://global-climatescope.org/markets/cl/,Termosifon Bifasico Original,26304,26250,99.8,2895600.0,509625.6
Sudamérica,"Isla Gordon, Chile",0.176,BloombergNEF Climatescope 2024,https://global-climatescope.org/markets/cl/,D2C Bifasico (Direct-to-Chip),26304,26304,100.0,2761920.0,486097.92
Sudamérica,"Isla Gordon, Chile",0.176,BloombergNEF Climatescope 2024,https://global-climatescope.org/markets/cl/,Inmersion Liquida Bifasica,26304,26304,100.0,2683008.0,472209.41
Sudamérica,"Colchane, Chile",0.176,BloombergNEF Climatescope 2024,https://global-climatescope.org/markets/cl/,CRAC (Aire Acond. Tradicional),26304,0,0.0,4734720.0,833310.72
Sudamérica,"Colchane, Chile",0.176,BloombergNEF Climatescope 2024,https://global-climatescope.org/markets/cl/,RDHx (Puerta Trasera),26304,14879,56.6,3424835.0,602770.96
Sudamérica,"Colchane, Chile",0.176,BloombergNEF Climatescope 2024,https://global-climatescope.org/markets/cl/,Termosifon Bifasico Original,26304,21232,80.7,3096320.0,544952.32
Sudamérica,"Colchane, Chile",0.176,BloombergNEF Climatescope 2024,https://global-climatescope.org/markets/cl/,D2C Bifasico (Direct-to-Chip),26304,26302,100.0,2761950.0,486103.2
Sudamérica,"Colchane, Chile",0.176,BloombergNEF Climatescope 2024,https://global-climatescope.org/markets/cl/,Inmersion Liquida Bifasica,26304,26304,100.0,2683008.0,472209.41
Sudamérica,"Punta Arenas, Chile",0.176,BloombergNEF Climatescope 2024,https://global-climatescope.org/markets/cl/,CRAC (Aire Acond. Tradicional),26304,0,0.0,4734720.0,833310.72
Sudamérica,"Punta Arenas, Chile",0.176,BloombergNEF Climatescope 2024,https://global-climatescope.org/markets/cl/,RDHx (Puerta Trasera),26304,21484,81.7,3193660.0,562084.16
Sudamérica,"Punta Arenas, Chile",0.176,BloombergNEF Climatescope 2024,https://global-climatescope.org/markets/cl/,Termosifon Bifasico Original,26304,25886,98.4,2910160.0,512188.16
Sudamérica,"Punta Arenas, Chile",0.176,BloombergNEF Climatescope 2024,https://global-climatescope.org/markets/cl/,D2C Bifasico (Direct-to-Chip),26304,26304,100.0,2761920.0,486097.92
Sudamérica,"Punta Arenas, Chile",0.176,BloombergNEF Climatescope 2024,https://global-climatescope.org/markets/cl/,Inmersion Liquida Bifasica,26304,26304,100.0,2683008.0,472209.41
Sudamérica,"Puerto Natales, Chile",0.176,BloombergNEF Climatescope 2024,https://global-climatescope.org/markets/cl/,CRAC (Aire Acond. Tradicional),26304,0,0.0,4734720.0,833310.72
Sudamérica,"Puerto Natales, Chile",0.176,BloombergNEF Climatescope 2024,https://global-climatescope.org/markets/cl/,RDHx (Puerta Trasera),26304,20770,79.0,3218650.0,566482.4
Sudamérica,"Puerto Natales, Chile",0.176,BloombergNEF Climatescope 2024,https://global-climatescope.org/markets/cl/,Termosifon Bifasico Original,26304,25450,96.8,2927600.0,515257.6
Sudamérica,"Puerto Natales, Chile",0.176,BloombergNEF Climatescope 2024,https://global-climatescope.org/markets/cl/,D2C Bifasico (Direct-to-Chip),26304,26304,100.0,2761920.0,486097.92
Sudamérica,"Puerto Natales, Chile",0.176,BloombergNEF Climatescope 2024,https://global-climatescope.org/markets/cl/,Inmersion Liquida Bifasica,26304,26304,100.0,2683008.0,472209.41
Sudamérica,"Coyhaique, Chile",0.176,BloombergNEF Climatescope 2024,https://global-climatescope.org/markets/cl/,CRAC (Aire Acond. Tradicional),26304,0,0.0,4734720.0,833310.72
Sudamérica,"Coyhaique, Chile",0.176,BloombergNEF Climatescope 2024,https://global-climatescope.org/markets/cl/,RDHx (Puerta Trasera),26304,18226,69.3,3307690.0,582153.44
Sudamérica,"Coyhaique, Chile",0.176,BloombergNEF Climatescope 2024,https://global-climatescope.org/markets/cl/,Termosifon Bifasico Original,26304,23666,90.0,2998960.0,527816.96
Sudamérica,"Coyhaique, Chile",0.176,BloombergNEF Climatescope 2024,https://global-climatescope.org/markets/cl/,D2C Bifasico (Direct-to-Chip),26304,26210,99.6,2763330.0,486346.08
Sudamérica,"Coyhaique, Chile",0.176,BloombergNEF Climatescope 2024,https://global-climatescope.org/markets/cl/,Inmersion Liquida Bifasica,26304,26304,100.0,2683008.0,472209.41
Sudamérica,"Mendoza, Argentina",0.085,IEA Energy Prices 2024,https://www.iea.org/data-and-statistics/data-product/energy-prices,CRAC (Aire Acond. Tradicional),26304,0,0.0,4734720.0,402451.2
Sudamérica,"Mendoza, Argentina",0.085,IEA Energy Prices 2024,https://www.iea.org/data-and-statistics/data-product/energy-prices,RDHx (Puerta Trasera),26304,5220,19.8,3762900.0,319846.5
Sudamérica,"Mendoza, Argentina",0.085,IEA Energy Prices 2024,https://www.iea.org/data-and-statistics/data-product/energy-prices,Termosifon Bifasico Original,26304,10496,39.9,3525760.0,299689.6
Sudamérica,"Mendoza, Argentina",0.085,IEA Energy Prices 2024,https://www.iea.org/data-and-statistics/data-product/energy-prices,D2C Bifasico (Direct-to-Chip),26304,20786,79.0,2844690.0,241798.65
Sudamérica,"Mendoza, Argentina",0.085,IEA Energy Prices 2024,https://www.iea.org/data-and-statistics/data-product/energy-prices,Inmersion Liquida Bifasica,26304,26094,99.2,2684688.0,228198.48
Sudamérica,"Montevideo, Uruguay",0.13,IEA Energy Prices 2024,https://www.iea.org/data-and-statistics/data-product/energy-prices,CRAC (Aire Acond. Tradicional),26304,0,0.0,4734720.0,615513.6
Sudamérica,"Montevideo, Uruguay",0.13,IEA Energy Prices 2024,https://www.iea.org/data-and-statistics/data-product/energy-prices,RDHx (Puerta Trasera),26304,2349,8.9,3863385.0,502240.05
Sudamérica,"Montevideo, Uruguay",0.13,IEA Energy Prices 2024,https://www.iea.org/data-and-statistics/data-product/energy-prices,Termosifon Bifasico Original,26304,9876,37.5,3550560.0,461572.8
Sudamérica,"Montevideo, Uruguay",0.13,IEA Energy Prices 2024,https://www.iea.org/data-and-statistics/data-product/energy-prices,D2C Bifasico (Direct-to-Chip),26304,24566,93.4,2787990.0,362438.7
Sudamérica,"Montevideo, Uruguay",0.13,IEA Energy Prices 2024,https://www.iea.org/data-and-statistics/data-product/energy-prices,Inmersion Liquida Bifasica,26304,26294,100.0,2683088.0,348801.44
Sudamérica,"Ushuaia, Argentina",0.085,IEA Energy Prices 2024,https://www.iea.org/data-and-statistics/data-product/energy-prices,CRAC (Aire Acond. Tradicional),26304,0,0.0,4734720.0,402451.2
Sudamérica,"Ushuaia, Argentina",0.085,IEA Energy Prices 2024,https://www.iea.org/data-and-statistics/data-product/energy-prices,RDHx (Puerta Trasera),26304,23047,87.6,3138955.0,266811.18
Sudamérica,"Ushuaia, Argentina",0.085,IEA Energy Prices 2024,https://www.iea.org/data-and-statistics/data-product/energy-prices,Termosifon Bifasico Original,26304,25960,98.7,2907200.0,247112.0
Sudamérica,"Ushuaia, Argentina",0.085,IEA Energy Prices 2024,https://www.iea.org/data-and-statistics/data-product/energy-prices,D2C Bifasico (Direct-to-Chip),26304,26304,100.0,2761920.0,234763.2
Sudamérica,"Ushuaia, Argentina",0.085,IEA Energy Prices 2024,https://www.iea.org/data-and-statistics/data-product/energy-prices,Inmersion Liquida Bifasica,26304,26304,100.0,2683008.0,228055.68
,"Bogota, Colombia",0,,,CRAC (Aire Acond. Tradicional),0,0,0,0.0,0.0
,"Bogota, Colombia",0,,,RDHx (Puerta Trasera),0,0,0,0.0,0.0
,"Bogota, Colombia",0,,,Termosifon Bifasico Original,0,0,0,0.0,0.0
,"Bogota, Colombia",0,,,D2C Bifasico (Direct-to-Chip),0,0,0,0.0,0.0
,"Bogota, Colombia",0,,,Inmersion Liquida Bifasica,0,0,0,0.0,0.0
Sudamérica,"Quito, Ecuador",0.1,IEA Energy Prices 2024,https://www.iea.org/data-and-statistics/data-product/energy-prices,CRAC (Aire Acond. Tradicional),26304,0,0.0,4734720.0,473472.0
Sudamérica,"Quito, Ecuador",0.1,IEA Energy Prices 2024,https://www.iea.org/data-and-statistics/data-product/energy-prices,RDHx (Puerta Trasera),26304,9148,34.8,3625420.0,362542.0
Sudamérica,"Quito, Ecuador",0.1,IEA Energy Prices 2024,https://www.iea.org/data-and-statistics/data-product/energy-prices,Termosifon Bifasico Original,26304,20550,78.1,3123600.0,312360.0
Sudamérica,"Quito, Ecuador",0.1,IEA Energy Prices 2024,https://www.iea.org/data-and-statistics/data-product/energy-prices,D2C Bifasico (Direct-to-Chip),26304,26304,100.0,2761920.0,276192.0
Sudamérica,"Quito, Ecuador",0.1,IEA Energy Prices 2024,https://www.iea.org/data-and-statistics/data-product/energy-prices,Inmersion Liquida Bifasica,26304,26304,100.0,2683008.0,268300.8
Europa,"Reykjavik, Islandia",0.1029,Eurostat NRG_PC_205 2024-S2,https://ec.europa.eu/eurostat/databrowser/view/NRG_PC_205,CRAC (Aire Acond. Tradicional),26304,0,0.0,4734720.0,487202.69
Europa,"Reykjavik, Islandia",0.1029,Eurostat NRG_PC_205 2024-S2,https://ec.europa.eu/eurostat/databrowser/view/NRG_PC_205,RDHx (Puerta Trasera),26304,21444,81.5,3195060.0,328771.67
Europa,"Reykjavik, Islandia",0.1029,Eurostat NRG_PC_205 2024-S2,https://ec.europa.eu/eurostat/databrowser/view/NRG_PC_205,Termosifon Bifasico Original,26304,26064,99.1,2903040.0,298722.82
Europa,"Reykjavik, Islandia",0.1029,Eurostat NRG_PC_205 2024-S2,https://ec.europa.eu/eurostat/databrowser/view/NRG_PC_205,D2C Bifasico (Direct-to-Chip),26304,26304,100.0,2761920.0,284201.57
Europa,"Reykjavik, Islandia",0.1029,Eurostat NRG_PC_205 2024-S2,https://ec.europa.eu/eurostat/databrowser/view/NRG_PC_205,Inmersion Liquida Bifasica,26304,26304,100.0,2683008.0,276081.52
Europa,"Helsinki, Finlandia",0.085,Eurostat NRG_PC_205 2024-S2,https://ec.europa.eu/eurostat/databrowser/view/NRG_PC_205,CRAC (Aire Acond. Tradicional),26304,0,0.0,4734720.0,402451.2
Europa,"Helsinki, Finlandia",0.085,Eurostat NRG_PC_205 2024-S2,https://ec.europa.eu/eurostat/databrowser/view/NRG_PC_205,RDHx (Puerta Trasera),26304,15841,60.2,3391165.0,288249.03
Europa,"Helsinki, Finlandia",0.085,Eurostat NRG_PC_205 2024-S2,https://ec.europa.eu/eurostat/databrowser/view/NRG_PC_205,Termosifon Bifasico Original,26304,19835,75.4,3152200.0,267937.0
Europa,"Helsinki, Finlandia",0.085,Eurostat NRG_PC_205 2024-S2,https://ec.europa.eu/eurostat/databrowser/view/NRG_PC_205,D2C Bifasico (Direct-to-Chip),26304,26221,99.7,2763165.0,234869.03
Europa,"Helsinki, Finlandia",0.085,Eurostat NRG_PC_205 2024-S2,https://ec.europa.eu/eurostat/databrowser/view/NRG_PC_205,Inmersion Liquida Bifasica,26304,26304,100.0,2683008.0,228055.68
Europa,"Lulea, Suecia",0.0924,Eurostat NRG_PC_205 2024-S2,https://ec.europa.eu/eurostat/databrowser/view/NRG_PC_205,CRAC (Aire Acond. Tradicional),26304,0,0.0,4734720.0,437488.13
Europa,"Lulea, Suecia",0.0924,Eurostat NRG_PC_205 2024-S2,https://ec.europa.eu/eurostat/databrowser/view/NRG_PC_205,RDHx (Puerta Trasera),26304,17526,66.6,3332190.0,307894.36
Europa,"Lulea, Suecia",0.0924,Eurostat NRG_PC_205 2024-S2,https://ec.europa.eu/eurostat/databrowser/view/NRG_PC_205,Termosifon Bifasico Original,26304,21625,82.2,3080600.0,284647.44
Europa,"Lulea, Suecia",0.0924,Eurostat NRG_PC_205 2024-S2,https://ec.europa.eu/eurostat/databrowser/view/NRG_PC_205,D2C Bifasico (Direct-to-Chip),26304,26182,99.5,2763750.0,255370.5
Europa,"Lulea, Suecia",0.0924,Eurostat NRG_PC_205 2024-S2,https://ec.europa.eu/eurostat/databrowser/view/NRG_PC_205,Inmersion Liquida Bifasica,26304,26304,100.0,2683008.0,247909.94
Europa,"Trondheim, Noruega",0.0655,Eurostat NRG_PC_205 2024-S2,https://ec.europa.eu/eurostat/databrowser/view/NRG_PC_205,CRAC (Aire Acond. Tradicional),26304,0,0.0,4734720.0,310124.16
Europa,"Trondheim, Noruega",0.0655,Eurostat NRG_PC_205 2024-S2,https://ec.europa.eu/eurostat/databrowser/view/NRG_PC_205,RDHx (Puerta Trasera),26304,17178,65.3,3344370.0,219056.24
Europa,"Trondheim, Noruega",0.0655,Eurostat NRG_PC_205 2024-S2,https://ec.europa.eu/eurostat/databrowser/view/NRG_PC_205,Termosifon Bifasico Original,26304,22677,86.2,3038520.0,199023.06
Europa,"Trondheim, Noruega",0.0655,Eurostat NRG_PC_205 2024-S2,https://ec.europa.eu/eurostat/databrowser/view/NRG_PC_205,D2C Bifasico (Direct-to-Chip),26304,26126,99.3,2764590.0,181080.65
Europa,"Trondheim, Noruega",0.0655,Eurostat NRG_PC_205 2024-S2,https://ec.europa.eu/eurostat/databrowser/view/NRG_PC_205,Inmersion Liquida Bifasica,26304,26304,100.0,2683008.0,175737.02
Europa,"Stavanger, Noruega",0.0655,Eurostat NRG_PC_205 2024-S2,https://ec.europa.eu/eurostat/databrowser/view/NRG_PC_205,CRAC (Aire Acond. Tradicional),26304,0,0.0,4734720.0,310124.16
Europa,"Stavanger, Noruega",0.0655,Eurostat NRG_PC_205 2024-S2,https://ec.europa.eu/eurostat/databrowser/view/NRG_PC_205,RDHx (Puerta Trasera),26304,14632,55.6,3433480.0,224892.94
Europa,"Stavanger, Noruega",0.0655,Eurostat NRG_PC_205 2024-S2,https://ec.europa.eu/eurostat/databrowser/view/NRG_PC_205,Termosifon Bifasico Original,26304,22283,84.7,3054280.0,200055.34
Europa,"Stavanger, Noruega",0.0655,Eurostat NRG_PC_205 2024-S2,https://ec.europa.eu/eurostat/databrowser/view/NRG_PC_205,D2C Bifasico (Direct-to-Chip),26304,26288,99.9,2762160.0,180921.48
Europa,"Stavanger, Noruega",0.0655,Eurostat NRG_PC_205 2024-S2,https://ec.europa.eu/eurostat/databrowser/view/NRG_PC_205,Inmersion Liquida Bifasica,26304,26304,100.0,2683008.0,175737.02
Europa,"Oulu, Finlandia",0.085,Eurostat NRG_PC_205 2024-S2,https://ec.europa.eu/eurostat/databrowser/view/NRG_PC_205,CRAC (Aire Acond. Tradicional),26304,0,0.0,4734720.0,402451.2
Europa,"Oulu, Finlandia",0.085,Eurostat NRG_PC_205 2024-S2,https://ec.europa.eu/eurostat/databrowser/view/NRG_PC_205,RDHx (Puerta Trasera),26304,17543,66.7,3331595.0,283185.58
Europa,"Oulu, Finlandia",0.085,Eurostat NRG_PC_205 2024-S2,https://ec.europa.eu/eurostat/databrowser/view/NRG_PC_205,Termosifon Bifasico Original,26304,21432,81.5,3088320.0,262507.2
Europa,"Oulu, Finlandia",0.085,Eurostat NRG_PC_205 2024-S2,https://ec.europa.eu/eurostat/databrowser/view/NRG_PC_205,D2C Bifasico (Direct-to-Chip),26304,26105,99.2,2764905.0,235016.93
Europa,"Oulu, Finlandia",0.085,Eurostat NRG_PC_205 2024-S2,https://ec.europa.eu/eurostat/databrowser/view/NRG_PC_205,Inmersion Liquida Bifasica,26304,26304,100.0,2683008.0,228055.68
Europa,"Tallin, Estonia",0.1488,Eurostat NRG_PC_205 2024-S2,https://ec.europa.eu/eurostat/databrowser/view/NRG_PC_205,CRAC (Aire Acond. Tradicional),26304,0,0.0,4734720.0,704526.34
Europa,"Tallin, Estonia",0.1488,Eurostat NRG_PC_205 2024-S2,https://ec.europa.eu/eurostat/databrowser/view/NRG_PC_205,RDHx (Puerta Trasera),26304,15721,59.8,3395365.0,505230.31
Europa,"Tallin, Estonia",0.1488,Eurostat NRG_PC_205 2024-S2,https://ec.europa.eu/eurostat/databrowser/view/NRG_PC_205,Termosifon Bifasico Original,26304,20027,76.1,3144520.0,467904.58
Europa,"Tallin, Estonia",0.1488,Eurostat NRG_PC_205 2024-S2,https://ec.europa.eu/eurostat/databrowser/view/NRG_PC_205,D2C Bifasico (Direct-to-Chip),26304,26119,99.3,2764695.0,411386.62
Europa,"Tallin, Estonia",0.1488,Eurostat NRG_PC_205 2024-S2,https://ec.europa.eu/eurostat/databrowser/view/NRG_PC_205,Inmersion Liquida Bifasica,26304,26304,100.0,2683008.0,399231.59
Europa,"Estocolmo, Suecia",0.0924,Eurostat NRG_PC_205 2024-S2,https://ec.europa.eu/eurostat/databrowser/view/NRG_PC_205,CRAC (Aire Acond. Tradicional),26304,0,0.0,4734720.0,437488.13
Europa,"Estocolmo, Suecia",0.0924,Eurostat NRG_PC_205 2024-S2,https://ec.europa.eu/eurostat/databrowser/view/NRG_PC_205,RDHx (Puerta Trasera),26304,15459,58.8,3404535.0,314579.03
Europa,"Estocolmo, Suecia",0.0924,Eurostat NRG_PC_205 2024-S2,https://ec.europa.eu/eurostat/databrowser/view/NRG_PC_205,Termosifon Bifasico Original,26304,20030,76.1,3144400.0,290542.56
Europa,"Estocolmo, Suecia",0.0924,Eurostat NRG_PC_205 2024-S2,https://ec.europa.eu/eurostat/databrowser/view/NRG_PC_205,D2C Bifasico (Direct-to-Chip),26304,26120,99.3,2764680.0,255456.43
Europa,"Estocolmo, Suecia",0.0924,Eurostat NRG_PC_205 2024-S2,https://ec.europa.eu/eurostat/databrowser/view/NRG_PC_205,Inmersion Liquida Bifasica,26304,26304,100.0,2683008.0,247909.94
Europa,"Oslo, Noruega",0.0655,Eurostat NRG_PC_205 2024-S2,https://ec.europa.eu/eurostat/databrowser/view/NRG_PC_205,CRAC (Aire Acond. Tradicional),26304,0,0.0,4734720.0,310124.16
Europa,"Oslo, Noruega",0.0655,Eurostat NRG_PC_205 2024-S2,https://ec.europa.eu/eurostat/databrowser/view/NRG_PC_205,RDHx (Puerta Trasera),26304,14970,56.9,3421650.0,224118.08
Europa,"Oslo, Noruega",0.0655,Eurostat NRG_PC_205 2024-S2,https://ec.europa.eu/eurostat/databrowser/view/NRG_PC_205,Termosifon Bifasico Original,26304,19952,75.9,3147520.0,206162.56
Europa,"Oslo, Noruega",0.0655,Eurostat NRG_PC_205 2024-S2,https://ec.europa.eu/eurostat/databrowser/view/NRG_PC_205,D2C Bifasico (Direct-to-Chip),26304,26061,99.1,2765565.0,181144.51
Europa,"Oslo, Noruega",0.0655,Eurostat NRG_PC_205 2024-S2,https://ec.europa.eu/eurostat/databrowser/view/NRG_PC_205,Inmersion Liquida Bifasica,26304,26304,100.0,2683008.0,175737.02
Europa,"Copenhague, Dinamarca",0.1379,Eurostat NRG_PC_205 2024-S2,https://ec.europa.eu/eurostat/databrowser/view/NRG_PC_205,CRAC (Aire Acond. Tradicional),26304,0,0.0,4734720.0,652917.89
Europa,"Copenhague, Dinamarca",0.1379,Eurostat NRG_PC_205 2024-S2,https://ec.europa.eu/eurostat/databrowser/view/NRG_PC_205,RDHx (Puerta Trasera),26304,13405,51.0,3476425.0,479399.01
